,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
0,12672,1.0,0.28600499,0.29274315,1622016.0,0.29274315,0.28600499,1.0
1,25472,1.0,0.155412987,0.201536191,3260416.0,0.201536191,0.155412987,1.0
2,12672,1.0,0.401551396,0.29901796,1622016.0,0.201536191,0.155412987,1.0
3,25472,1.0,0.18491362,0.176267905,3260416.0,0.176267905,0.155412987,1.0
4,38272,1.0,0.199225798,0.145714727,4898816.0,0.145714727,0.155412987,1.0
5,51072,1.0,0.111997254,0.111266604,6537216.0,0.111266604,0.111997254,1.0
6,63872,1.0,0.14386189,0.117169539,8175616.0,0.111266604,0.111997254,1.0
7,76672,1.0,0.101107836,0.127789159,9814016.0,0.111266604,0.101107836,1.0
8,89472,1.0,0.131507695,0.133453704,11452416.0,0.111266604,0.101107836,1.0
9,102272,1.0,0.043126114,0.097360935,13090816.0,0.097360935,0.043126114,1.0
10,115072,1.0,0.14079003,0.107771533,14729216.0,0.097360935,0.043126114,1.0
11,127872,1.0,0.101979829,0.115434669,16367616.0,0.097360935,0.043126114,1.0
12,140672,1.0,0.070458002,0.089354129,18006016.0,0.089354129,0.043126114,1.0
13,153472,1.0,0.197298676,0.109768033,19644416.0,0.089354129,0.043126114,1.0
14,166272,1.0,0.101707578,0.087449662,21282816.0,0.087449662,0.043126114,1.0
15,179072,1.0,0.045044027,0.127984501,22921216.0,0.087449662,0.043126114,1.0
16,191872,1.0,0.078393407,0.092736683,24559616.0,0.087449662,0.043126114,1.0
17,204672,1.0,0.032777656,0.088705213,26198016.0,0.087449662,0.032777656,1.0
18,217472,1.0,0.057129178,0.087814192,27836416.0,0.087449662,0.032777656,1.0
19,230272,1.0,0.130781934,0.102192,29474816.0,0.087449662,0.032777656,1.0
20,243072,1.0,0.036900815,0.084143191,31113216.0,0.084143191,0.032777656,1.0
21,255872,1.0,0.065678082,0.073581981,32751616.0,0.073581981,0.032777656,1.0
22,268672,1.0,0.104220733,0.081768844,34390016.0,0.073581981,0.032777656,1.0
23,281472,1.0,0.044731837,0.08422881,36028416.0,0.073581981,0.032777656,1.0
24,294272,1.0,0.053642258,0.076580102,37666816.0,0.073581981,0.032777656,1.0
25,307072,1.0,0.070588611,0.085305917,39305216.0,0.073581981,0.032777656,1.0
26,319872,1.0,0.151806563,0.072966701,40943616.0,0.072966701,0.032777656,1.0
27,332672,1.0,0.040261682,0.072956721,42582016.0,0.072956721,0.032777656,1.0
28,345472,1.0,0.137871698,0.079215437,44220416.0,0.072956721,0.032777656,1.0
29,358272,1.0,0.137029529,0.071510306,45858816.0,0.071510306,0.032777656,1.0
30,371072,1.0,0.028067976,0.070741721,47497216.0,0.070741721,0.028067976,1.0
31,383872,1.0,0.026102502,0.073398468,49135616.0,0.070741721,0.026102502,1.0
32,396672,1.0,0.075670466,0.071945645,50774016.0,0.070741721,0.026102502,1.0
33,409472,1.0,0.018175213,0.072033114,52412416.0,0.070741721,0.018175213,1.0
34,422272,1.0,0.105135143,0.077207562,54050816.0,0.070741721,0.018175213,1.0
35,435072,1.0,0.02393177,0.081246579,55689216.0,0.070741721,0.018175213,1.0
36,447872,1.0,0.039720256,0.075303648,57327616.0,0.070741721,0.018175213,1.0
37,460672,1.0,0.136681303,0.073086406,58966016.0,0.070741721,0.018175213,1.0
38,473472,1.0,0.021673713,0.072275867,60604416.0,0.070741721,0.018175213,1.0
39,486272,1.0,0.092591867,0.069290418,62242816.0,0.069290418,0.018175213,1.0
40,499072,1.0,0.051727563,0.06881166,63881216.0,0.06881166,0.018175213,1.0
41,511872,1.0,0.092434205,0.067416709,65519616.0,0.067416709,0.018175213,1.0
