,data_size,model_size,eval_loss,compute
0,1.0,1.0,3.75,1.0
1,0.71,1.0,4.38,0.71
2,0.5,1.0,5.1,0.5
3,0.35,1.0,6.09,0.35
4,0.25,1.0,6.75,0.25
5,0.18,1.0,5.39,0.18
6,0.12,1.0,7.1,0.12
7,0.09,1.0,7.84,0.09
8,0.06,1.0,8.09,0.06
9,1.0,1.41,3.2,2.0
10,0.71,1.41,3.28,1.41
11,0.5,1.41,3.42,1.0
12,0.35,1.41,3.75,0.71
13,0.25,1.41,4.31,0.5
14,0.18,1.41,3.84,0.35
15,0.12,1.41,4.95,0.25
16,0.09,1.41,4.56,0.18
17,0.06,1.41,5.68,0.12
18,1.0,2.0,2.0,4.0
19,0.71,2.0,2.72,2.83
20,0.5,2.0,2.02,2.0
21,0.35,2.0,3.16,1.41
22,0.25,2.0,3.01,1.0
23,0.18,2.0,3.71,0.71
24,0.12,2.0,3.11,0.5
25,0.09,2.0,4.86,0.35
26,0.06,2.0,4.54,0.25
27,1.0,2.83,1.78,8.0
28,0.71,2.83,2.4,5.66
29,0.5,2.83,2.1,4.0
30,0.35,2.83,2.59,2.83
31,0.25,2.83,2.37,2.0
32,0.18,2.83,2.61,1.41
33,0.12,2.83,1.91,1.0
34,0.09,2.83,3.29,0.71
35,0.06,2.83,4.82,0.5
36,1.0,4.0,1.58,16.0
37,0.71,4.0,2.06,11.31
38,0.5,4.0,1.78,8.0
39,0.35,4.0,1.77,5.66
40,0.25,4.0,1.96,4.0
41,0.18,4.0,2.13,2.83
42,0.12,4.0,2.39,2.0
43,0.09,4.0,3.37,1.41
44,0.06,4.0,3.68,1.0
45,1.0,5.66,1.68,32.0
46,0.71,5.66,1.77,22.63
47,0.5,5.66,1.35,16.0
48,0.35,5.66,2.18,11.31
49,0.25,5.66,1.87,8.0
50,0.18,5.66,2.3,5.66
51,0.12,5.66,2.24,4.0
52,0.09,5.66,2.12,2.83
53,0.06,5.66,2.55,2.0
54,1.0,8.0,1.57,64.0
55,0.71,8.0,1.42,45.25
56,0.5,8.0,1.33,32.0
57,0.35,8.0,1.86,22.63
58,0.25,8.0,1.68,16.0
59,0.18,8.0,1.93,11.31
60,0.12,8.0,2.07,8.0
61,0.09,8.0,2.57,5.66
62,0.06,8.0,3.16,4.0
