data_size,model_size,train_loss,eval_loss,compute
12672,1,0.28600499,0.29274315,12672
25472,1,0.155412987,0.201536191,25472
12672,1,0.401551396,0.29901796,12672
25472,1,0.18491362,0.176267905,25472
38272,1,0.199225798,0.145714727,38272
51072,1,0.111997254,0.111266604,51072
63872,1,0.14386189,0.117169539,63872
76672,1,0.101107836,0.127789159,76672
89472,1,0.131507695,0.133453704,89472
102272,1,0.043126114,0.097360935,102272
115072,1,0.14079003,0.107771533,115072
127872,1,0.101979829,0.115434669,127872
140672,1,0.070458002,0.089354129,140672
153472,1,0.197298676,0.109768033,153472
166272,1,0.101707578,0.087449662,166272
179072,1,0.045044027,0.127984501,179072
191872,1,0.078393407,0.092736683,191872
204672,1,0.032777656,0.088705213,204672
217472,1,0.057129178,0.087814192,217472
230272,1,0.130781934,0.102192,230272
243072,1,0.036900815,0.084143191,243072
255872,1,0.065678082,0.073581981,255872
268672,1,0.104220733,0.081768844,268672
281472,1,0.044731837,0.08422881,281472
294272,1,0.053642258,0.076580102,294272
307072,1,0.070588611,0.085305917,307072
319872,1,0.151806563,0.072966701,319872
332672,1,0.040261682,0.072956721,332672
345472,1,0.137871698,0.079215437,345472
358272,1,0.137029529,0.071510306,358272
371072,1,0.028067976,0.070741721,371072
383872,1,0.026102502,0.073398468,383872
396672,1,0.075670466,0.071945645,396672
409472,1,0.018175213,0.072033114,409472
422272,1,0.105135143,0.077207562,422272
435072,1,0.02393177,0.081246579,435072
447872,1,0.039720256,0.075303648,447872
460672,1,0.136681303,0.073086406,460672
473472,1,0.021673713,0.072275867,473472
486272,1,0.092591867,0.069290418,486272
499072,1,0.051727563,0.06881166,499072
511872,1,0.092434205,0.067416709,511872
524672,1,0.030072819,0.075600777,524672
537472,1,0.134243011,0.097764796,537472
550272,1,0.187988907,0.077138896,550272
563072,1,0.034002673,0.098315349,563072
575872,1,0.050571483,0.071395879,575872
588672,1,0.023082878,0.082073052,588672
601472,1,0.032713179,0.070637801,601472
614272,1,0.05326239,0.068281791,614272
627072,1,0.059998017,0.069632122,627072
639872,1,0.026156057,0.071822447,639872
652672,1,0.024984926,0.06335516,652672
665472,1,0.101374008,0.066424952,665472
678272,1,0.012446121,0.066941584,678272
691072,1,0.131965652,0.08086241,691072
703872,1,0.076831333,0.073062041,703872
716672,1,0.078103445,0.071167244,716672
729472,1,0.043175027,0.072930152,729472
742272,1,0.025038755,0.072711114,742272
755072,1,0.016095979,0.069359781,755072
767872,1,0.129300684,0.074307794,767872
780672,1,0.049877454,0.077413053,780672
793472,1,0.028045058,0.063560657,793472
806272,1,0.005780931,0.06204781,806272
819072,1,0.06548737,0.060584278,819072
831872,1,0.083659098,0.06283425,831872
844672,1,0.077233993,0.067970661,844672
857472,1,0.060733151,0.07286106,857472
870272,1,0.08861652,0.084272494,870272
12672,1,0.2075883,0.252730544,12672
25472,1,0.201070383,0.174383012,25472
38272,1,0.154976517,0.165805663,38272
51072,1,0.224697068,0.177439437,51072
63872,1,0.15698196,0.13411772,63872
76672,1,0.220216617,0.119307492,76672
89472,1,0.067366838,0.120082278,89472
102272,1,0.057134435,0.116915,102272
115072,1,0.123888142,0.100788862,115072
127872,1,0.105640203,0.095344849,127872
140672,1,0.039285075,0.09405178,140672
153472,1,0.057416204,0.088786057,153472
166272,1,0.10513638,0.087515331,166272
179072,1,0.08620619,0.081226523,179072
191872,1,0.110481098,0.106857142,191872
