,data_size,model_size,eval_loss,compute
0,1.0,1.0,16.09,1.0
1,0.71,1.0,17.13,0.71
2,0.5,1.0,22.1,0.5
3,0.35,1.0,19.73,0.35
4,0.25,1.0,31.53,0.25
5,0.18,1.0,33.52,0.18
6,0.12,1.0,33.59,0.12
7,0.09,1.0,43.36,0.09
8,0.06,1.0,139.6,0.06
9,1.0,1.41,10.58,2.0
10,0.71,1.41,16.48,1.41
11,0.5,1.41,16.74,1.0
12,0.35,1.41,23.53,0.71
13,0.25,1.41,22.87,0.5
14,0.18,1.41,31.47,0.35
15,0.12,1.41,28.5,0.25
16,0.09,1.41,31.43,0.18
17,0.06,1.41,58.1,0.12
18,1.0,2.0,13.19,4.0
19,0.71,2.0,12.3,2.83
20,0.5,2.0,14.92,2.0
21,0.35,2.0,21.32,1.41
22,0.25,2.0,21.87,1.0
23,0.18,2.0,17.28,0.71
24,0.12,2.0,29.41,0.5
25,0.09,2.0,34.49,0.35
26,0.06,2.0,98.91,0.25
27,1.0,2.83,10.94,8.0
28,0.71,2.83,10.86,5.66
29,0.5,2.83,25.26,4.0
30,0.35,2.83,17.11,2.83
31,0.25,2.83,13.64,2.0
32,0.18,2.83,25.18,1.41
33,0.12,2.83,18.96,1.0
34,0.09,2.83,38.16,0.71
35,0.06,2.83,36.85,0.5
36,1.0,4.0,8.38,16.0
37,0.71,4.0,10.98,11.31
38,0.5,4.0,9.74,8.0
39,0.35,4.0,12.39,5.66
40,0.25,4.0,17.79,4.0
41,0.18,4.0,17.69,2.83
42,0.12,4.0,19.83,2.0
43,0.09,4.0,26.75,1.41
44,0.06,4.0,48.36,1.0
45,1.0,5.66,7.78,32.0
46,0.71,5.66,11.83,22.63
47,0.5,5.66,9.57,16.0
48,0.35,5.66,11.39,11.31
49,0.25,5.66,14.23,8.0
50,0.18,5.66,18.43,5.66
51,0.12,5.66,26.65,4.0
52,0.09,5.66,65.75,2.83
53,0.06,5.66,53.59,2.0
54,1.0,8.0,7.96,64.0
55,0.71,8.0,8.98,45.25
56,0.5,8.0,13.07,32.0
57,0.35,8.0,12.73,22.63
58,0.25,8.0,9.82,16.0
59,0.18,8.0,20.64,11.31
60,0.12,8.0,20.39,8.0
61,0.09,8.0,49.4,5.66
62,0.06,8.0,207.23,4.0
63,1.0,11.31,11.25,128.0
64,0.71,11.31,8.97,90.51
65,0.5,11.31,9.04,64.0
66,0.35,11.31,9.4,45.25
67,0.25,11.31,11.67,32.0
68,0.18,11.31,13.5,22.63
69,0.12,11.31,15.45,16.0
70,0.09,11.31,70.45,11.31
71,0.06,11.31,305.1,8.0
72,1.0,16.0,9.3,256.0
73,0.71,16.0,13.05,181.02
74,0.5,16.0,9.39,128.0
75,0.35,16.0,13.25,90.51
76,0.25,16.0,12.39,64.0
77,0.18,16.0,15.07,45.25
78,0.12,16.0,15.98,32.0
79,0.09,16.0,32.48,22.63
80,0.06,16.0,140.72,16.0
81,1.0,1.0,13.15,1.0
82,0.71,1.0,14.79,0.71
83,0.5,1.0,17.37,0.5
84,0.35,1.0,20.22,0.35
85,0.25,1.0,28.68,0.25
86,0.18,1.0,26.19,0.18
87,0.12,1.0,38.24,0.12
88,0.09,1.0,51.31,0.09
89,0.06,1.0,57.42,0.06
90,1.0,1.41,11.06,2.0
91,0.71,1.41,18.43,1.41
92,0.5,1.41,30.68,1.0
93,0.35,1.41,21.81,0.71
94,0.25,1.41,24.97,0.5
95,0.18,1.41,25.66,0.35
96,0.12,1.41,38.94,0.25
97,0.09,1.41,48.74,0.18
98,0.06,1.41,52.44,0.12
99,1.0,2.0,9.19,4.0
100,0.71,2.0,13.46,2.83
101,0.5,2.0,12.41,2.0
102,0.35,2.0,15.77,1.41
103,0.25,2.0,24.76,1.0
104,0.18,2.0,33.26,0.71
105,0.12,2.0,38.25,0.5
